,Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes
5803,Growing Up Smith,PG-13,2015,0.01,"Comedy,Drama,Family",102,6.8,1129.0
5804,Good Ol' Freda,PG,2013,0.14,"Documentary,Biography,History",86,7.3,1919.0
5805,Good People,R,2014,0.0,"Action,Crime,Thriller",90,5.5,0.0
5806,Good Time,R,2017,2.03,"Crime,Drama,Thriller",102,7.4,100171.0
5807,Good Will Hunting,R,1997,138.43,"Drama,Romance",126,8.3,888923.0
5808,Goodbye America,R,1997,0.0,"Action,Drama,Romance",116,5.1,0.0
5809,Goodbye Lover,R,1998,1.92,"Comedy,Crime,Mystery",102,5.6,3868.0
5810,Goodbye Solo,R,2008,0.87,Drama,91,7.3,5671.0
5811,Goodfellas,R,1990,46.84,"Biography,Crime,Drama",146,8.7,1054232.0
5812,Goodnight Mr. Foot,G,2012,0.0,"Animation,Short,Comedy",4,5.5,0.0
5813,Goodnight Sweet Wife: A Murder in Boston,PG,1990,0.0,"Crime,Thriller",88,6.0,0.0
5814, Goodnight for Justice,PG,2011–2013,0.0,Western,88,6.2,0.0
5815,Goon,R,2011,4.17,"Comedy,Drama,Sport",92,6.8,84898.0
5816,Goosebumps,PG,2015,80.08,"Adventure,Comedy,Family",103,6.3,83058.0
5817,Goosebumps 2: Haunted Halloween,PG,2018,46.7,"Animation,Adventure,Comedy",90,5.6,18860.0
5818,Gorging,G,2013,0.0,"Documentary,Adventure,Biography",90,6.9,0.0
5819,Gosford Park,R,2001,41.31,"Comedy,Drama,Mystery",131,7.2,82529.0
5820,Gosnell: The Trial of America's Biggest Serial Killer,PG-13,2018,3.68,"Crime,Drama",93,6.7,4352.0
5821,Gospa,PG,1995,0.38,"Drama,History",125,4.2,383.0
5822,Gossip,R,2000,5.11,"Drama,Mystery,Thriller",90,5.9,15829.0
5823,Got the Facts on Milk?,PG,2008,0.0,Documentary,88,7.1,0.0
5824,Gotham,PG-13,2011,0.0,Action,0,6.8,0.0
5825,Gothika,R,2003,59.69,"Horror,Mystery,Thriller",98,5.8,109266.0
5826,Gotta Catch Santa Claus,PG,2008,0.0,"Animation,Fantasy",60,4.3,0.0
5827,Gotti,R,1996,0.0,"Biography,Crime,Drama",117,7.2,0.0
5828,Gotti,R,2018,4.34,"Biography,Crime,Drama",112,4.7,14367.0
5829,Goya's Ghosts,R,2006,1.0,"Biography,Drama,History",113,6.9,29903.0
